Classification,Area (sq km),rotulos
0,0.009199388296568627,Fora da área de interesse
3,284.71246072470115,Formação Florestal
5,5.0169242643573835,Mangue
9,7.1703107544462314,Silvicultura
11,66.71076775643765,Campo Alagado e Área Pantanosa
15,151.11787531742488,Pastagem
21,115.533603650337,Mosaico de Usos
23,18.2153695180798,"Praia, Duna e Areal"
24,110.63037009356233,Área Urbanizada
25,3.3715898008195464,Outras Áreas não Vegetadas
33,13.75666110737976,"Rio, Lago e Oceano"
49,7.876135627960324,Restinga Arborizada
50,0.2423209951171875,Restinga Herbácea
